Country	Region	Campaign	Media_Channel	Ad_Spend_Local	FX_Rate_to_USD	Revenue_Generated_USD
Mexico	LATAM	Spring2024	TV	6905440.1	0.058	160206.21
India	Asia	Spring2024	TV	2085053.12	0.012	36301.6
Italy	Europe	Spring2024	YouTube	8126391.5	1.1	26359852.34
Italy	Europe	Spring2024	Influencer	3032366.51	1.1	4309788.7
Australia	Oceania	Spring2024	Social Media	6096519.03	0.67	7606372.41
Brazil	LATAM	Spring2024	Social Media	4552145.21	0.19	2950267.26
Nigeria	Africa	Spring2024	TV	12575796.11	0.0011	44253.73
China	Asia	Spring2024	Social Media	8646851.02	0.14	4803410.66
Argentina	LATAM	Spring2024	YouTube	11926190.16	0.01	330507.31
Japan	Asia	Spring2024	Social Media	11035170.11	0.0064	59881.33
Argentina	LATAM	Spring2024	TV	8362690.47	0.01	124700.69
Brazil	LATAM	Spring2024	Social Media	2095766.52	0.19	313637.92
India	Asia	Spring2024	Social Media	7241724.26	0.012	133221.6
India	Asia	Spring2024	Billboard	4297935.54	0.012	166029.88
Australia	Oceania	Spring2024	Radio	5947230.3	0.67	6266105.74
Egypt	Africa	Spring2024	Radio	6405716.55	0.021	198771.84
UK	Europe	Spring2024	YouTube	4448534.01	1.27	12052492.02
Saudi Arabia	Middle East	Spring2024	TV	6795897.24	0.27	7314551.14
Brazil	LATAM	Spring2024	Billboard	5545818.01	0.19	2572415.07
South Africa	Africa	Spring2024	TV	13869322.43	0.054	1199892.56
Argentina	LATAM	Spring2024	YouTube	9447353.35	0.01	189338.62
Nigeria	Africa	Spring2024	Influencer	4482827.3	0.0011	18534.12
Canada	North America	Spring2024	YouTube	10403902.99	0.75	26635011.46
South Korea	Asia	Spring2024	Influencer	12946583.72	0.00072	11034
Japan	Asia	Spring2024	Social Media	5493461.78	0.0064	29884.44
Argentina	LATAM	Spring2024	YouTube	12425438.45	0.01	141963.69
USA	North America	Spring2024	YouTube	11577553.49	1	15571400.29
Australia	Oceania	Spring2024	TV	1277497.06	0.67	2363049.71
Australia	Oceania	Spring2024	Billboard	11713932.98	0.67	4991573.38
Italy	Europe	Spring2024	Influencer	3472248.13	1.1	12430382.28
Egypt	Africa	Spring2024	Influencer	2470706.5	0.021	129360.6
Argentina	LATAM	Spring2024	Radio	11709269.3	0.01	94444.92
Brazil	LATAM	Spring2024	YouTube	10711634.48	0.19	1770051.41
Japan	Asia	Spring2024	Influencer	1020725.35	0.0064	5547.74
Egypt	Africa	Spring2024	Radio	1547309.81	0.021	122181.94
Canada	North America	Spring2024	Radio	8942846.15	0.75	14899053.2
UK	Europe	Spring2024	YouTube	7684912.91	1.27	12417183.36
Japan	Asia	Spring2024	YouTube	11838998.69	0.0064	64354.15
Argentina	LATAM	Spring2024	Influencer	6530431.52	0.01	177801.57
Germany	Europe	Spring2024	YouTube	13299238.62	1.1	23685018.06
South Korea	Asia	Spring2024	Radio	3892918.4	0.00072	10046.78
USA	North America	Spring2024	Billboard	13445372.94	1	43989387.43
South Africa	Africa	Spring2024	Radio	13367115.67	0.054	1311908.96
Germany	Europe	Spring2024	Social Media	8702293.69	1.1	17851979.24
India	Asia	Spring2024	Radio	3762708.87	0.012	162089.46
Nigeria	Africa	Spring2024	TV	5412843.93	0.0011	21429.51
USA	North America	Spring2024	Radio	10351265.34	1	35748522.17
Egypt	Africa	Spring2024	YouTube	11274576.74	0.021	657594.57
China	Asia	Spring2024	Billboard	3372642.36	0.14	1183460.97
Nigeria	Africa	Spring2024	TV	7250900.12	0.0011	29462.37
UAE	Middle East	Spring2024	Radio	12357718.59	0.27	6121442.82
USA	North America	Spring2024	YouTube	8329276.69	1	25670713.73
Nigeria	Africa	Spring2024	TV	12643615.17	0.0011	50485.81
Saudi Arabia	Middle East	Spring2024	YouTube	5673597.64	0.27	4622562.74
South Africa	Africa	Spring2024	Billboard	3791205.22	0.054	369384.9
Egypt	Africa	Spring2024	TV	5464886.53	0.021	271130.75
Italy	Europe	Spring2024	Social Media	9286608.42	1.1	15195947.14
USA	North America	Spring2024	Radio	6325495.97	1	21694489.55
